schema_nm,table_nm,obj_typ,ord,is_key,column_nm,data_typ,nullable,column_descr
notipapa_db,articles,TBL,1,PK,ARTICLE_ID,int(10),"NOT NULL","Llave primaria de la tabla de ARTICLES"
notipapa_db,articles,TBL,2," ",SIGN,varchar(100),"NOT NULL","Firma del reportero"
notipapa_db,articles,TBL,3," ",LOCATION_STREET,varchar(100),NULL,"Calle en la que ocurrio la nota"
notipapa_db,articles,TBL,4," ",LOCATION_NEIGHB,varchar(70),NULL,"Colonia en la que ocurrio la nota"
notipapa_db,articles,TBL,5," ",LOCATION_CITY,varchar(80),"NOT NULL","Ciudad en la que ocurrio la nota"
notipapa_db,articles,TBL,6," ",LOCATION_COUNTRY,varchar(50),"NOT NULL","Pais en la que ocurrio la nota"
notipapa_db,articles,TBL,7," ",EVENT_DATE,datetime(8),"NOT NULL","Fecha en la que ocurrio el suceso"
notipapa_db,articles,TBL,8," ",PUBLICATION_DATE,datetime(8),"NOT NULL","Fecha en la que publico la nota en el portal"
notipapa_db,articles,TBL,9," ",ARTICLE_HEADER,varchar(80),"NOT NULL","Encabezado de la nota"
notipapa_db,articles,TBL,10," ",ARTICLE_DESCRIPTION,varchar(100),NULL,"Descripción breve de la nota"
notipapa_db,articles,TBL,11," ",ARTICLE_CONTENT,varchar(1000),"NOT NULL","Contenido de la nota"
notipapa_db,articles,TBL,12," ",LIKES,int(10),"NOT NULL","Numero de likes que ha recibido la nota"
notipapa_db,articles,TBL,13," ",THUMBNAIL,mediumblob(16777215),"NOT NULL","Miniatura con la que la nota se muestra"
notipapa_db,articles,TBL,14," ",CREATION_DATE,datetime(8),"NOT NULL","Fecha de creacion de la nota"
notipapa_db,articles,TBL,15,FK,CREATED_BY,int(10),"NOT NULL","Usuario que creo la nota"
notipapa_db,articles,TBL,16," ",LAST_UPDATE_DATE,datetime(8),"NOT NULL","Última fecha de modificación de la nota"
notipapa_db,articles,TBL,17," ",LAST_UPDATED_BY,int(10),"NOT NULL","Ultimo usuario que modifico la nota"
notipapa_db,articles,TBL,18," ",ARTICLE_STATUS,char(2),"NOT NULL","Estado actual de la noticia [P-Publicada  E-Eliminada  RA-En revision por administrador  RR-En revision por reportero]"
notipapa_db,categories,TBL,1,PK,CATEGORY_NAME,varchar(40),"NOT NULL","Llave primaria de la tabla, nombre de la CATEGORIES"
notipapa_db,categories,TBL,2," ",CREATION_DATE,datetime(8),"NOT NULL","Fecha de creacion de la nota"
notipapa_db,categories,TBL,3," ",CREATED_BY,int(10),"NOT NULL","Usuario que creo la nota"
notipapa_db,categories,TBL,4," ",LAST_UPDATE_DATE,datetime(8),"NOT NULL","Última fecha de modificación de la sección"
notipapa_db,categories,TBL,5," ",LAST_UPDATED_BY,int(10),"NOT NULL","Último usuario que modifico la sección"
notipapa_db,categories,TBL,6," ",SECTION_STATUS,char(1),"NOT NULL","Estado actual de la seccion [A - Activa  I - Inactiva]"
notipapa_db,comments,TBL,1,PK,COMMENT_ID,int(10),"NOT NULL","Llave primaria de la tabla de COMMENTS"
notipapa_db,comments,TBL,2," ",COMMENT_TEXT,varchar(1000),"NOT NULL","Contenido del comentario"
